n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,4.174044880955741e-06,(207/332),1,80,5.384
7,1,4.671820211799016e-07,(((5/19) * sqrt(17)) + (-6/13)),6,80,5.384
7,2,6.364990201568332e-09,(((-11/9) * sqrt((((-1/5) * sqrt(26)) + (23/14)))) + (27/17)),11,80,5.384
7,3,2.870937931831463e-10,(((-5/7) * sqrt((((-1/13) * sqrt((((5/16) * sqrt(37)) + (-23/18)))) + (13/19)))) + (19/16)),16,80,5.384
11,0,1.6308438660073143e-05,(53/63),1,80,5.623
11,1,1.3207075849619443e-06,(((-2/13) * sqrt(2)) + (18/17)),6,80,5.623
11,2,8.880231328056709e-09,(((9/11) * sqrt((((39/20) * sqrt(2)) + (-23/12)))) + (1/11)),11,80,5.623
11,3,4.354526184080498e-09,(((5/6) * sqrt((((-12/11) * sqrt((((7/18) * sqrt(38)) + (-14/9)))) + (35/19)))) + (1/13)),16,80,5.623
13,0,6.529412869382689e-06,(201/227),1,80,4.827
13,1,2.760103652299506e-07,(((-11/12) * sqrt(2)) + (24/11)),6,80,4.827
13,2,6.161268895077399e-08,(((-14/11) * sqrt((((7/15) * sqrt(35)) + (-15/8)))) + (25/12)),11,80,4.827
13,3,8.108403726225788e-09,((-31/16) + (3 * sqrt((((21/10) * sqrt((((-3/14) * sqrt(14)) + (27/16)))) + (-12/11))))),16,80,4.827
